floor,start_x,start_y,start_type,start_name,goal_x,goal_y,goal_type,goal_name,route
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,614,319,PP,PP,"[(960, 670), (956, 666), (953, 663), (949, 659), (946, 656), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (816, 526), (813, 523), (809, 519), (806, 516), (800, 510), (795, 510), (790, 510), (785, 510), (780, 510), (775, 510), (770, 510), (765, 510), (760, 510), (755, 510), (750, 510), (745, 510), (740, 510), (736, 514), (730, 520), (725, 520), (720, 520), (715, 520), (710, 520), (705, 520), (700, 520), (695, 520), (690, 520), (685, 520), (680, 520), (675, 520), (670, 520), (666, 516), (663, 513), (659, 509), (656, 506), (652, 502), (649, 499), (645, 495), (640, 490), (640, 485), (640, 480), (640, 475), (640, 470), (640, 465), (640, 460), (640, 455), (640, 450), (640, 445), (640, 440), (640, 435), (640, 430), (640, 425), (640, 420), (640, 415), (640, 410), (640, 405), (640, 400), (640, 395), (640, 390), (640, 385), (640, 380), (640, 375), (640, 370), (636, 366), (633, 363), (629, 359), (626, 356), (622, 352), (619, 349), (615, 345), (610, 340), (610, 335), (610, 330), (610, 325), (610, 320), (610, 315), (610, 310)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,1071,318,PG,PG,"[(960, 670), (964, 666), (967, 663), (971, 659), (974, 656), (980, 650), (985, 650), (990, 650), (995, 650), (1000, 650), (1005, 650), (1010, 650), (1015, 650), (1020, 650), (1025, 650), (1030, 650), (1035, 650), (1040, 650), (1045, 650), (1050, 650), (1055, 650), (1060, 650), (1065, 650), (1070, 650), (1075, 650), (1080, 650), (1085, 650), (1090, 650), (1095, 650), (1100, 650), (1105, 650), (1110, 650), (1115, 650), (1120, 650), (1125, 650), (1130, 650), (1135, 650), (1140, 650), (1145, 650), (1150, 650), (1155, 650), (1160, 650), (1165, 650), (1170, 650), (1175, 650), (1180, 650), (1185, 650), (1190, 650), (1195, 650), (1200, 650), (1205, 650), (1210, 650), (1215, 650), (1220, 650), (1224, 646), (1227, 643), (1231, 639), (1234, 636), (1238, 632), (1241, 629), (1245, 625), (1250, 620), (1254, 616), (1257, 613), (1261, 609), (1264, 606), (1268, 602), (1271, 599), (1275, 595), (1280, 590), (1284, 586), (1287, 583), (1291, 579), (1294, 576), (1298, 572), (1301, 569), (1305, 565), (1310, 560), (1310, 555), (1310, 550), (1310, 545), (1310, 540), (1310, 535), (1310, 530), (1314, 526), (1317, 523), (1321, 519), (1324, 516), (1330, 510), (1334, 514), (1340, 520), (1345, 520), (1350, 520), (1355, 520), (1360, 520), (1365, 520), (1370, 520), (1375, 520), (1380, 520), (1385, 520), (1390, 520), (1395, 520), (1400, 520), (1404, 516), (1407, 513), (1411, 509), (1414, 506), (1418, 502), (1421, 499), (1425, 495), (1430, 490), (1426, 486), (1423, 483), (1419, 479), (1416, 476), (1412, 472), (1409, 469), (1405, 465), (1400, 460), (1396, 456), (1393, 453), (1389, 449), (1386, 446), (1382, 442), (1379, 439), (1375, 435), (1370, 430), (1365, 430), (1360, 430), (1355, 430), (1350, 430), (1345, 430), (1340, 430), (1335, 430), (1330, 430), (1325, 430), (1320, 430), (1315, 430), (1310, 430), (1306, 426), (1303, 423), (1299, 419), (1296, 416), (1292, 412), (1289, 409), (1285, 405), (1280, 400), (1275, 400), (1270, 400), (1265, 400), (1260, 400), (1255, 400), (1250, 400), (1246, 396), (1243, 393), (1239, 389), (1236, 386), (1232, 382), (1229, 379), (1225, 375), (1220, 370), (1215, 370), (1210, 370), (1205, 370), (1200, 370), (1195, 370), (1190, 370), (1186, 366), (1183, 363), (1179, 359), (1176, 356), (1172, 352), (1169, 349), (1165, 345), (1160, 340), (1155, 340), (1150, 340), (1145, 340), (1140, 340), (1135, 340), (1130, 340), (1126, 336), (1123, 333), (1119, 329), (1116, 326), (1112, 322), (1109, 319), (1105, 315), (1100, 310), (1095, 310), (1090, 310), (1085, 310), (1080, 310), (1075, 310), (1070, 310)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,1519,315,Hidromasaje,Hidromasaje,"[(960, 670), (964, 666), (967, 663), (971, 659), (974, 656), (980, 650), (985, 650), (990, 650), (995, 650), (1000, 650), (1005, 650), (1010, 650), (1015, 650), (1020, 650), (1025, 650), (1030, 650), (1035, 650), (1040, 650), (1045, 650), (1050, 650), (1055, 650), (1060, 650), (1065, 650), (1070, 650), (1075, 650), (1080, 650), (1085, 650), (1090, 650), (1095, 650), (1100, 650), (1105, 650), (1110, 650), (1115, 650), (1120, 650), (1125, 650), (1130, 650), (1135, 650), (1140, 650), (1145, 650), (1150, 650), (1155, 650), (1160, 650), (1165, 650), (1170, 650), (1175, 650), (1180, 650), (1185, 650), (1190, 650), (1195, 650), (1200, 650), (1205, 650), (1210, 650), (1215, 650), (1220, 650), (1224, 646), (1227, 643), (1231, 639), (1234, 636), (1238, 632), (1241, 629), (1245, 625), (1250, 620), (1254, 616), (1257, 613), (1261, 609), (1264, 606), (1268, 602), (1271, 599), (1275, 595), (1280, 590), (1284, 586), (1287, 583), (1291, 579), (1294, 576), (1298, 572), (1301, 569), (1305, 565), (1310, 560), (1310, 555), (1310, 550), (1310, 545), (1310, 540), (1310, 535), (1310, 530), (1314, 526), (1317, 523), (1321, 519), (1324, 516), (1330, 510), (1335, 510), (1340, 510), (1345, 510), (1350, 510), (1355, 510), (1360, 510), (1365, 510), (1370, 510), (1375, 510), (1380, 510), (1385, 510), (1390, 510), (1390, 515), (1390, 520), (1394, 516), (1397, 513), (1401, 509), (1404, 506), (1408, 502), (1411, 499), (1415, 495), (1420, 490), (1424, 486), (1427, 483), (1431, 479), (1434, 476), (1438, 472), (1441, 469), (1445, 465), (1450, 460), (1450, 455), (1450, 450), (1450, 445), (1450, 440), (1450, 435), (1450, 430), (1454, 426), (1457, 423), (1461, 419), (1464, 416), (1468, 412), (1471, 409), (1475, 405), (1480, 400), (1480, 395), (1480, 390), (1480, 385), (1480, 380), (1480, 375), (1480, 370), (1480, 365), (1480, 360), (1480, 355), (1480, 350), (1480, 345), (1480, 340), (1484, 336), (1487, 333), (1491, 329), (1494, 326), (1498, 322), (1501, 319), (1505, 315), (1510, 310)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,1012,53,SOLARIUM,SOLARIUM,"[(960, 670), (956, 666), (953, 663), (949, 659), (946, 656), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (815, 530), (810, 530), (806, 526), (803, 523), (799, 519), (796, 516), (790, 510), (785, 510), (780, 510), (775, 510), (770, 510), (765, 510), (760, 510), (755, 510), (750, 510), (745, 510), (740, 510), (735, 510), (730, 510), (726, 506), (723, 503), (719, 499), (716, 496), (710, 490), (710, 485), (710, 480), (710, 475), (710, 470), (710, 465), (710, 460), (710, 455), (710, 450), (710, 445), (710, 440), (710, 435), (710, 430), (710, 425), (710, 420), (710, 415), (710, 410), (710, 405), (710, 400), (710, 395), (710, 390), (710, 385), (710, 380), (710, 375), (710, 370), (710, 365), (710, 360), (710, 355), (710, 350), (710, 345), (710, 340), (710, 335), (710, 330), (710, 325), (710, 320), (710, 315), (710, 310), (710, 305), (710, 300), (710, 295), (710, 290), (710, 285), (710, 280), (710, 275), (710, 270), (710, 265), (710, 260), (710, 255), (710, 250), (710, 245), (710, 240), (710, 235), (710, 230), (710, 225), (710, 220), (710, 215), (710, 210), (710, 205), (710, 200), (710, 195), (710, 190), (710, 185), (710, 180), (710, 175), (710, 170), (710, 165), (710, 160), (710, 155), (710, 150), (710, 145), (710, 140), (710, 135), (710, 130), (715, 130), (720, 130), (724, 126), (727, 123), (731, 119), (734, 116), (740, 110), (745, 110), (750, 110), (755, 110), (760, 110), (765, 110), (770, 110), (775, 110), (780, 110), (785, 110), (790, 110), (795, 110), (800, 110), (805, 110), (810, 110), (815, 110), (820, 110), (825, 110), (830, 110), (835, 110), (840, 110), (845, 110), (850, 110), (855, 110), (860, 110), (865, 110), (870, 110), (875, 110), (880, 110), (885, 110), (890, 110), (894, 106), (897, 103), (901, 99), (904, 96), (908, 92), (911, 89), (915, 85), (920, 80), (925, 80), (930, 80), (935, 80), (940, 80), (945, 80), (950, 80), (954, 76), (957, 73), (961, 69), (964, 66), (968, 62), (971, 59), (975, 55), (980, 50), (985, 50), (990, 50), (995, 50), (1000, 50), (1005, 50), (1010, 50)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,1067,537,DESCANSO,DESCANSO,"[(960, 670), (956, 666), (953, 663), (949, 659), (946, 656), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (825, 530), (830, 530), (835, 530), (840, 530), (845, 530), (850, 530), (855, 530), (860, 530), (865, 530), (870, 530), (875, 530), (880, 530), (885, 530), (890, 530), (895, 530), (900, 530), (905, 530), (910, 530), (915, 530), (920, 530), (925, 530), (930, 530), (935, 530), (940, 530), (945, 530), (950, 530), (955, 530), (960, 530), (965, 530), (970, 530), (975, 530), (980, 530), (985, 530), (990, 530), (995, 530), (1000, 530), (1005, 530), (1010, 530), (1015, 530), (1020, 530), (1025, 530), (1030, 530), (1035, 530), (1040, 530), (1045, 530), (1050, 530), (1055, 530), (1060, 530)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,605,52,SAUNA,SAUNA,"[(960, 670), (956, 666), (953, 663), (949, 659), (946, 656), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (816, 526), (813, 523), (809, 519), (806, 516), (800, 510), (795, 510), (790, 510), (785, 510), (780, 510), (775, 510), (770, 510), (766, 514), (760, 520), (755, 520), (750, 520), (745, 520), (740, 520), (735, 520), (730, 520), (726, 516), (723, 513), (719, 509), (716, 506), (710, 500), (710, 495), (710, 490), (710, 485), (710, 480), (710, 475), (710, 470), (710, 465), (710, 460), (710, 455), (710, 450), (710, 445), (710, 440), (710, 435), (710, 430), (710, 425), (710, 420), (710, 415), (710, 410), (710, 405), (710, 400), (710, 395), (710, 390), (710, 385), (710, 380), (710, 375), (710, 370), (710, 365), (710, 360), (710, 355), (710, 350), (710, 345), (710, 340), (710, 335), (710, 330), (710, 325), (710, 320), (710, 315), (710, 310), (710, 305), (710, 300), (710, 295), (710, 290), (710, 285), (710, 280), (710, 275), (710, 270), (710, 265), (710, 260), (710, 255), (710, 250), (710, 245), (710, 240), (710, 235), (710, 230), (710, 225), (710, 220), (710, 215), (710, 210), (710, 205), (710, 200), (710, 195), (710, 190), (710, 185), (710, 180), (710, 175), (710, 170), (710, 165), (710, 160), (710, 155), (710, 150), (710, 145), (710, 140), (706, 136), (703, 133), (699, 129), (696, 126), (692, 122), (689, 119), (685, 115), (680, 110), (676, 114), (670, 120), (666, 116), (660, 110), (655, 110), (650, 110), (645, 110), (640, 110), (635, 110), (630, 110), (625, 110), (620, 110), (615, 110), (610, 110), (605, 110), (600, 110), (600, 105), (600, 100), (600, 95), (600, 90), (600, 85), (600, 80), (600, 75), (600, 70), (600, 65), (600, 60), (600, 55), (600, 50)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,720,47,BANO VAPOR,BAÃ‘O VAPOR,"[(960, 670), (956, 666), (953, 663), (949, 659), (946, 656), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (815, 530), (810, 530), (806, 526), (803, 523), (799, 519), (796, 516), (790, 510), (785, 510), (780, 510), (775, 510), (770, 510), (765, 510), (760, 510), (755, 510), (750, 510), (745, 510), (740, 510), (735, 510), (730, 510), (726, 506), (723, 503), (719, 499), (716, 496), (710, 490), (710, 485), (710, 480), (710, 475), (710, 470), (710, 465), (710, 460), (710, 455), (710, 450), (710, 445), (710, 440), (710, 435), (710, 430), (710, 425), (710, 420), (710, 415), (710, 410), (710, 405), (710, 400), (710, 395), (710, 390), (710, 385), (710, 380), (710, 375), (710, 370), (710, 365), (710, 360), (710, 355), (710, 350), (710, 345), (710, 340), (710, 335), (710, 330), (710, 325), (710, 320), (710, 315), (710, 310), (710, 305), (710, 300), (710, 295), (710, 290), (710, 285), (710, 280), (710, 275), (710, 270), (710, 265), (710, 260), (710, 255), (710, 250), (710, 245), (710, 240), (710, 235), (710, 230), (710, 225), (710, 220), (710, 215), (710, 210), (710, 205), (710, 200), (710, 195), (710, 190), (710, 185), (710, 180), (710, 175), (710, 170), (710, 165), (710, 160), (710, 155), (710, 150), (710, 145), (710, 140), (710, 135), (710, 130), (715, 130), (720, 130), (716, 126), (713, 123), (709, 119), (706, 116), (702, 112), (699, 109), (695, 105), (690, 100), (690, 95), (690, 90), (690, 85), (690, 80), (690, 75), (690, 70), (694, 66), (697, 63), (701, 59), (704, 56), (708, 52), (711, 49), (715, 45), (720, 40)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,850,947,VESTUARIO,VestuarioMasculino,"[(960, 670), (964, 674), (967, 677), (971, 681), (974, 684), (978, 688), (981, 691), (985, 695), (990, 700), (995, 700), (1000, 700), (1005, 700), (1010, 700), (1015, 700), (1020, 700), (1025, 700), (1030, 700), (1035, 700), (1040, 700), (1045, 700), (1050, 700), (1054, 704), (1057, 707), (1061, 711), (1064, 714), (1068, 718), (1071, 721), (1075, 725), (1080, 730), (1080, 735), (1080, 740), (1084, 744), (1087, 747), (1091, 751), (1094, 754), (1098, 758), (1101, 761), (1105, 765), (1110, 770), (1110, 775), (1110, 780), (1110, 785), (1110, 790), (1110, 795), (1110, 800), (1105, 800), (1100, 800), (1095, 800), (1090, 800), (1085, 800), (1080, 800), (1076, 804), (1073, 807), (1069, 811), (1066, 814), (1062, 818), (1059, 821), (1055, 825), (1050, 830), (1046, 834), (1043, 837), (1039, 841), (1036, 844), (1030, 850), (1025, 850), (1020, 850), (1015, 850), (1010, 850), (1005, 850), (1000, 850), (996, 854), (993, 857), (989, 861), (986, 864), (982, 868), (979, 871), (975, 875), (970, 880), (966, 884), (963, 887), (959, 891), (956, 894), (952, 898), (949, 901), (945, 905), (940, 910), (935, 910), (930, 910), (925, 910), (920, 910), (915, 910), (910, 910), (905, 910), (900, 910), (895, 910), (890, 910), (885, 910), (880, 910), (876, 914), (873, 917), (869, 921), (866, 924), (862, 928), (859, 931), (855, 935), (850, 940)]"
Planta0,967,673,NOFUNCIONAL,EscaleraCentroSubida,1376,941,VESTUARIO,VestuarioFemenino,"[(960, 670), (964, 674), (967, 677), (971, 681), (974, 684), (978, 688), (981, 691), (985, 695), (990, 700), (995, 700), (1000, 700), (1005, 700), (1010, 700), (1015, 700), (1020, 700), (1025, 700), (1030, 700), (1035, 700), (1040, 700), (1045, 700), (1050, 700), (1054, 704), (1057, 707), (1061, 711), (1064, 714), (1068, 718), (1071, 721), (1075, 725), (1080, 730), (1080, 735), (1080, 740), (1084, 744), (1087, 747), (1091, 751), (1094, 754), (1098, 758), (1101, 761), (1105, 765), (1110, 770), (1114, 774), (1117, 777), (1121, 781), (1124, 784), (1128, 788), (1131, 791), (1135, 795), (1140, 800), (1144, 804), (1147, 807), (1151, 811), (1154, 814), (1158, 818), (1161, 821), (1165, 825), (1170, 830), (1174, 834), (1177, 837), (1181, 841), (1184, 844), (1190, 850), (1195, 850), (1200, 850), (1205, 850), (1210, 850), (1215, 850), (1220, 850), (1224, 854), (1227, 857), (1231, 861), (1234, 864), (1238, 868), (1241, 871), (1245, 875), (1250, 880), (1254, 884), (1257, 887), (1261, 891), (1264, 894), (1268, 898), (1271, 901), (1275, 905), (1280, 910), (1285, 910), (1290, 910), (1295, 910), (1300, 910), (1305, 910), (1310, 910), (1315, 910), (1320, 910), (1325, 910), (1330, 910), (1335, 910), (1340, 910), (1344, 914), (1347, 917), (1351, 921), (1354, 924), (1358, 928), (1361, 931), (1365, 935), (1370, 940)]"
Planta0,1188,608,NOFUNCIONAL,AscensorInterior,614,319,PP,PP,"[(1180, 600), (1180, 595), (1180, 590), (1184, 594), (1187, 597), (1191, 601), (1194, 604), (1198, 608), (1201, 611), (1205, 615), (1210, 620), (1210, 625), (1210, 630), (1210, 635), (1210, 640), (1210, 645), (1210, 650), (1205, 650), (1200, 650), (1195, 650), (1190, 650), (1185, 650), (1180, 650), (1175, 650), (1170, 650), (1165, 650), (1160, 650), (1155, 650), (1150, 650), (1145, 650), (1140, 650), (1135, 650), (1130, 650), (1125, 650), (1120, 650), (1115, 650), (1110, 650), (1105, 650), (1100, 650), (1095, 650), (1090, 650), (1085, 650), (1080, 650), (1075, 650), (1070, 650), (1065, 650), (1060, 650), (1055, 650), (1050, 650), (1045, 650), (1040, 650), (1035, 650), (1030, 650), (1025, 650), (1020, 650), (1015, 650), (1010, 650), (1005, 650), (1000, 650), (995, 650), (990, 650), (985, 650), (980, 650), (975, 650), (970, 650), (965, 650), (960, 650), (955, 650), (950, 650), (945, 650), (940, 650), (935, 650), (930, 650), (925, 650), (920, 650), (915, 650), (910, 650), (906, 646), (903, 643), (899, 639), (896, 636), (892, 632), (889, 629), (885, 625), (880, 620), (876, 616), (873, 613), (869, 609), (866, 606), (862, 602), (859, 599), (855, 595), (850, 590), (846, 586), (843, 583), (839, 579), (836, 576), (832, 572), (829, 569), (825, 565), (820, 560), (820, 555), (820, 550), (820, 545), (820, 540), (820, 535), (820, 530), (816, 526), (813, 523), (809, 519), (806, 516), (800, 510), (796, 514), (790, 520), (786, 516), (780, 510), (775, 510), (770, 510), (765, 510), (760, 510), (755, 510), (750, 510), (745, 510), (740, 510), (735, 510), (730, 510), (725, 510), (720, 510), (715, 510), (710, 510), (705, 510), (700, 510), (695, 510), (690, 510), (685, 510), (680, 510), (675, 510), (670, 510), (665, 510), (660, 510), (656, 506), (653, 503), (649, 499), (646, 496), (640, 490), (640, 485), (640, 480), (640, 475), (640, 470), (640, 465), (640, 460), (640, 455), (640, 450), (640, 445), (640, 440), (640, 435), (640, 430), (640, 425), (640, 420), (640, 415), (640, 410), (640, 405), (640, 400), (640, 395), (640, 390), (640, 385), (640, 380), (640, 375), (640, 370), (636, 366), (633, 363), (629, 359), (626, 356), (622, 352), (619, 349), (615, 345), (610, 340), (610, 335), (610, 330), (610, 325), (610, 320), (610, 315), (610, 310)]"
